name,addresslines,hours_open_per_week,gc_status_rel,has_lu,has_cl,has_wa,has_vs,zipcode,storenumber,revenue
Selden,"1251 Middle Country Road,Selden, NY 11784",122.5,0.97,1,0,1,1,11784,7528-14030,2184571.386409425
Target Sayville T-2847,"5750 Sunrise Hwy,Sayville, NY 11782",90.0,0.95,0,0,1,0,11782,23497-218704,2597032.87404352
Farmingville-North Ocean Ave.,"2280 North Ocean Ave.,B,Farmingville, NY 11738",110.5,0.97,1,0,1,0,11738,48613-264047,2040719.462479406
Sayville,"59 Main Street,Sayville, NY 11782",105.0,0.95,1,0,1,1,11782,7447-6426,1905278.3150356638
Bayport,"911 Montauk Highway,Bayport, NY 11705",100.5,0.95,1,0,1,1,11705,10284-100403,3021782.641440098
East Setauket,"246 Route 25-A,Setauket, NY 11733",107.5,0.97,1,1,1,1,11733,7432-2586,3207175.9284839975
Target Medford T-1948,"2975 Horseblock Rd,Medford, NY 11763",84.0,0.95,0,0,1,0,11763,76412-95718,1959604.6645764092
Coram-Rte. 112,"1710 Route 112,Coram, NY 11727",108.5,0.95,1,0,1,0,11727,28920-251790,2792818.1858982053
Port Jefferson,"201 Main Street,Unit C,Port Jefferson, NY 11777",120.0,0.97,1,1,1,1,11777,7210-551,1532818.9430308696
Stop & Shop-Medford #583,"700-60 Patchogue Yaphank Rd,Medford, NY 11763",105.0,0.95,0,0,1,0,11763,79377-97521,2855403.419120265
Miller Place,"385 Route 25 A,14,Miller Place, NY 11764",115.5,0.99,1,0,1,1,11764,7844-81481,2882191.9386153533
Tanger Outlets Riverhead,"1770 West Main Street, Suite 1400,Riverhead, NY 11901",82.0,0.96,1,0,1,1,11901,10167-99943,1220818.4660277877
Riverhead S/C - Cty Rd 58,"1791 OLD COUNTRY RD RT 58,Riverhead, NY 11901",121.0,0.99,1,0,1,1,11901,18624-187364,1823804.7894627184
Target Riverhead T-1818,"1150 Old Country Rd,Riverhead, NY 11901",86.0,0.97,0,0,1,0,11901,20877-208284,1102339.1947336106
Hampton Bays,"24 Montauk Highway,Hampton Bays, NY 11946",112.0,0.97,1,0,1,1,11946,7718-59500,1190428.9820553765
Mattituck,"10095 Main Road,Mattituck, NY 11952",108.5,0.95,1,0,1,0,11952,13718-107982,1341297.7129485856
Bridgehampton Village,"2488 Montauk Hwy,Bridgehampton, NY 11932",112.0,0.95,1,1,1,1,11932,7406-1586,1869975.4080906368
East Hampton Village,"39 Main Street,East Hampton, NY 11937",115.5,0.97,1,1,1,1,11937,7884-46539,2298357.4241143917
Georgetowne Shopping Center,"2177 Ralph Ave,Brooklyn, NY 11234",106.0,0.94,1,0,1,0,11234,54804-288519,743729.5707822423
LIU CW Post,"720 Northern Blvd,Brookfield, NY 11548",82.5,0.91,0,0,0,0,11548,15465-147769,1937443.3481854738
Glen Cove,"5 School Street,Glen Cove, NY 11542",112.5,0.97,1,0,1,1,11542,832-2026,586531.6339973779
Flatbush Ave & Kings Hwy,"1927 Flatbush Ave,Brooklyn, NY 11234",108.0,0.91,1,0,1,0,11234,23591-231287,796300.7059918867
Franklin Ave & Eastern Pkwy,"341 Eastern Pkwy,Brooklyn, NY 11238",107.5,0.91,1,0,1,0,11238,23266-228865,365396.7814917128
Target Brooklyn College,"2201 Nostrand Ave,Brooklyn, NY 11210",90.0,0.94,0,0,0,0,11210,76878-100172,584694.9990608265
33-42 Hillel Place,"33-42 Hillel Place,Brooklyn, NY 11210",107.5,0.91,1,0,1,0,11210,9721-97945,695347.7932496096
Macy's-Kings Plaza #6,"5400 Avenue U,Brooklyn, NY 11234",75.0,0.94,0,0,0,0,11234,16153-155504,970944.8192702205
Lafayette Ave & Grand Ave,"325 Lafayette,Brooklyn, NY 11205",96.0,0.81,1,0,1,0,11205,54446-286216,276556.5714294095
164 Park Place,"164 Park Place,Brooklyn, NY 11217",96.0,0.94,1,1,1,1,11217,19554-200744,840598.0233780058
164 7th Avenue,"166 7th Avenue,Brooklyn, NY 11215",114.5,0.94,1,0,1,1,11215,7441-1994,964101.4706207402
Barclays Center,"620 Atlantic Avenue,Brooklyn, NY 11217",79.5,0.94,1,0,1,0,11217,17727-179364,548952.6613034046
7th Ave and 9th St,"444 Ninth St.,Brooklyn, NY 11215",100.0,0.94,1,0,1,0,11215,29856-255547,1522065.733416267
Flatbush Ave Atlantic Terminal,"139 Flatbush Ave,Brooklyn, NY 11217",108.5,0.94,1,0,1,0,11217,7704-13119,1241594.548221278
4th Ave. & Union St.,"225 4th Avenue,Brooklyn, NY 11215",108.5,0.94,1,0,1,0,11215,29719-254988,1436600.8566364837
1417 Kings Highway,"1417 Kings Highway,Brooklyn, NY 11229",114.0,0.94,1,0,1,0,11229,17224-171944,470048.2736449657
395 Flatbush Ave Extension,"395 Flatbush Ave Extension,D,Brooklyn, NY 11201",93.0,0.97,1,0,1,0,11201,21352-210984,467991.848900289
Target Brooklyn T-2850,"445 Gold St,Brooklyn, NY 11201",98.0,0.91,0,0,0,0,11201,28114-237585,223128.9592926495
4th Ave. & 11th St.-Park Slope,"476 4th Ave.,Brooklyn, NY 11215",104.0,0.94,1,0,1,0,11215,48170-261809,795803.1919573473
Hoyt St & Schermerhorn St,"45 Hoyt Street,D,Brooklyn, NY 11201",104.5,0.94,1,0,1,0,11201,57601-291413,797056.084371003
Lam Group @ Sheraton Brooklyn,"228 Duffield st,Brooklyn, NY 11201",95.0,0.94,1,0,1,0,11201,25334-232868,895584.3890620256
607 Brighton Beach Ave,"607 Brighton Beach Avenue,Brooklyn, NY 11235",104.0,0.97,1,1,1,1,11235,3438-93385,613400.9009995428
65th St & 18th Ave,"6423 18th Avenue,Brooklyn, NY 11204",115.5,0.94,1,0,1,1,11204,7921-91620,730680.3489464282
Cropsey Ave & Hart Place,"3035 Cropsey Ave,Brooklyn, NY 11224",84.0,0.94,1,0,1,0,11224,8131-96060,870243.4880461105
1971 86th Street,"1971 86th Street,Brooklyn, NY 11214",106.0,0.94,1,0,1,1,11214,13983-114731,399417.25740405545
Caesar's Bay Shopping Center,"8973 Bay Parkway,Brooklyn, NY 11214",122.5,0.94,1,0,1,0,11214,23267-228864,425281.34671111335
514 86th St,"514 86th Street,Brooklyn, NY 11209",105.0,0.94,1,0,1,1,11209,11808-106389,202733.99889191272
Bay Ridge Pkwy & 3rd Ave,"7419 3rd Avenue,Brooklyn, NY 11209",106.5,0.94,1,0,1,1,11209,2864-92970,632694.8575085052
3rd Ave & 92nd St,"9202 Third Avenue,Brooklyn, NY 11209",114.0,0.94,1,0,1,0,11209,7646-27128,373885.7669174799
Smith St & Wyckoff St,"164 Smith Street,Brooklyn, NY 11201",98.5,0.94,1,0,1,0,11201,11807-106578,868646.2024597706
Court St & Dean St,"167 Court Street,Brooklyn, NY 11201",98.0,0.94,1,0,1,0,11201,7595-14074,758329.9484233421
Gold St & Johnson Street,"309 Gold St,Brooklyn, NY 11201",96.0,0.94,1,0,1,0,11201,24401-237441,474077.63421998854
6 Metro Tech at Jay Street,"6 Metro Tech,Brooklyn, NY 11201",103.0,0.92,1,0,1,0,11201,11809-106577,423354.21646629245
Court St & Joralemon,"50 Court Street,Brooklyn, NY 11201",107.5,0.94,1,0,1,0,11201,7358-1369,871644.4382332956
134 Montague Street,"134 Montague Street,Brooklyn, NY 11201",107.0,0.94,1,0,1,1,11201,844-169565,530045.949830665
